licensor,licensee,asset,moa,ta,phase,region,upfront_musd,milestone_musd,total_musd,date
恒瑞医药,GSK,HRS-9821,PDE3/4抑制剂,慢阻塞肺病/肿瘤,Ⅰ期,全球,500.0,12000.0,12500.0,2025-07
信达生物,武田制药,IBI363/343/301,PD-1 x IL-2α-bias/ CLDN18.2 双抗等,肿瘤,Ⅱ/Ⅲ期,全球（除中国）,1200.0,10200.0,11400.0,2025-10
BioNTech,百时美施贵宝 (BMS),BNT327,PD-L1 × VEGF-A 双抗,肿瘤,Ⅲ期,全球,1500.0,9600.0,11100.0,2025-06
三生制药 （中国）,辉瑞,SSGJ-707,PD-1 × VEGF 双抗,肿瘤,Ⅰ/Ⅱ期,全球（除中国，含中国期权）,1250.0,4800.0,6200.0,2025-05
晶泰科技,DoveTree,AI药物发现平台,AI制药,IO/CNS,临床前,全球,51.0,5939.0,5990.0,2025-06
Monte Rosa Therapeutics,Novartis,分子胶降解剂药物,未公开,免疫介导疾病,临床前,全球,120.0,5580.0,5700.0,2025-09
舶望制药,Novartis,ANGPTL3,RNA疗法,代谢/CVD,Ⅱ期,全球（除中国）,160.0,5200.0,5360.0,2025-09
石药集团,AstraZeneca,AI药物发现平台,AI制药,自免疾病,临床前,全球,110.0,5220.0,5330.0,2025-06
Zealand,罗氏,Petrelintide,胰淀素类似物,代谢,Ⅱb期,全球,1650.0,3600.0,5250.0,2025-03
Harbour BioMed （中国）,阿斯利康,未披露（战略合作）,未披露,肿瘤 / 自免,未披露,全球（除大中华区）,,4400.0,4680.0,2025-03
荣昌生物,Vor BioPharma,泰它西普,Taci-Fc融合蛋白,自免疾病,批准上市,全球（除大中华区）,45.0,4105.0,4230.0,2025-06
Syneron （中国）,阿斯利康,未披露 + Synova 技术平台,口服大环肽,自免,未披露,全球,75.0,3400.0,3475.0,2025-03
ABL Bio,GSK,Grabody-B 技术平台,IGF1R 靶向血脑屏障穿透,中枢神经,临床前,全球,49.0,2652.0,2701.0,2025-04
先为达生物,Verdiva Bio,Ecnoglutide Oral,Amylin类似物/GLP-1,肥胖/2型糖尿病,Ⅰ期,全球（除大中华区，韩国）,70.0,2400.0,2470.0,2025-01
Gubra,艾伯维,GUB014295,Amylin类似物,肥胖/2型糖尿病,Ⅰ期,全球,350.0,1875.0,2225.0,2025-03
Arrowhead Pharmaceuticals,诺华,ARO-SNCA,RNA疗法,神经退行性疾病,临床前,全球,200.0,2000.0,2200.0,2025-09
Septerna,诺和诺德,多款口服小分子,GPCR 发现平台,代谢,先导筛选,全球,200.0,2000.0,2200.0,2025-05
Xilio,艾伯维,未披露 + 技术平台,T 细胞接合剂 (TCEs),肿瘤,临床前,全球,42.0,2100.0,2142.0,2025-02
Arbor Biotechnology,Chiesi,基因编辑,NAGLU基因疗法,罕见病,I/II期临床,全球,115.0,2000.0,2115.0,2025-10
Omeros,诺和诺德,zaltenibart,anti-MASP1单抗,罕见血液/肾脏疾病,III期临床,全球,340.0,,2100.0,2025-10
诺诚健华,Zenas BioPharma,Orelabrutinib,多靶点抑制剂,多发性硬化症,批准上市/临床前,全球（大中华区和东南亚以外）,35.0,,2095.0,2025-10
石药集团,Madrigal Pharmaceutical,SYH2086,GLP-1R激动剂,肥胖,临床前,全球（除中国）,120.0,1955.0,2075.0,2025-07
Enlaza Therapeutics,Vertex Pharmaceutical,War-Lock 技术平台,抗体,自免疾病,临床前,全球,45.0,2000.0,2045.0,2025-09
Insitro,Bristol-Myers Squibb,ChemML™平台,AI制药,肌萎缩侧索硬化症,临床前,全球,20.0,2000.0,2020.0,2025-10
翰森制药 （中国）,再生元,HS-20094,GLP-1 / GIP 双激动剂,代谢 / 肥胖,Ⅲ期,全球（除中国）,80.0,1930.0,2010.0,2025-06
Skyhawk Therapeutics,默克,SkySTAR 平台,RNA靶点小分子药物,神经系统疾病,临床前,全球,,,2000.0,2025-08
联邦制药 （中国）,诺和诺德,UBT251,合成肽 (GLP-1/GIP/胰高血糖素),代谢,Ⅰ期,全球（除大中华区）,200.0,1800.0,2000.0,2025-03
Orionis Bio,基因泰克 / 罗氏,小分子“胶合剂”,Allo-Glue™,肿瘤,临床前,全球,105.0,,2000.0,2025-05
恒瑞医药 （中国）,默沙东,HRS-5346,Lp(a) 抑制剂,代谢,Ⅱ期,全球（除大中华区）,200.0,1770.0,1970.0,2025-03
Ichnos Glenmark Innovation,艾伯维,ISB 2001,anti-BCMA/CD38/CD3三特异性抗体,多发性骨髓瘤,Ⅰ期,北美，欧洲，日本，大中华区,700.0,1225.0,1925.0,2025-07
Dren Bio,赛诺菲,DR-0201,CD20 双特异性髓系细胞促活剂,肿瘤,Ⅰ期,全球,600.0,1300.0,1900.0,2025-03
Earendil,赛诺菲,HXN-1002 & HXN-100,TL1A×α4β7 & TL1A×IL-23 双抗,自免,临床前,全球,125.0,1720.0,1845.0,2025-04
Leo Pharma,吉利德,STAT6 组合,STAT6 蛋白降解剂,自免,临床前,全球,250.0,1450.0,1700.0,2025-01
普瑞金,Kite Pharma,Car-T,体内原位编辑疗法,肿瘤/自免,临床前,全球,120.0,1520.0,1640.0,2025-10
信诺维,Astellas Pharma,XNW27011,anti-CLDN18.2抗体偶联药物,实体瘤,Ⅰ/Ⅱ期,全球（除大中华区）,130.0,1340.0,1540.0,2025-05
瀚森制药,罗氏,CDH17,anti-CDH17抗体偶联药物,实体瘤,Ⅰ期,全球（除大中华区）,80.0,1450.0,1530.0,2025-10
Sangamo,礼来,STAC-BBB 技术,专有 AAV 血脑屏障载体,中枢神经,临床前,全球,18.0,1400.0,1418.0,2025-04
Philochem AG,RayzeBio（BMS）,OncoACP3,ACP3 靶向放射配体,前列腺癌,IND 递交,全球,350.0,1000.0,1350.0,2025-06
Evopoint Bio,阿斯泰拉斯,XNW27011,CLDN18.2 ADC,肿瘤,Ⅰ/Ⅱ期,全球,130.0,1210.0,1340.0,2025-05
Kumquat Biosciences,拜耳,KRAS G12D,KRAS G12D抑制剂,癌症,申报临床,全球,,,1300.0,2025-08
Rznomics,礼来,未披露（听力损失靶点）,转剪接核酶 RNA 编辑平台,遗传病,临床前,全球,,1300.0,1300.0,2025-05
Superluminal Medicines,礼来,GPCR靶点小分子疗法,未披露,代谢，肥胖,临床前,全球,,,1300.0,2025-08
Magnet Bio,礼来,未披露 + 技术平台,分子胶,肿瘤,临床前,全球,40.0,1250.0,1290.0,2025-02
石药集团 （中国）,Radiance Bio,SYS6005,ROR1 ADC,肿瘤,临床前,美/加/澳/部分欧盟,15.0,1225.0,1240.0,2025-02
乐普生物 （中国）,ArriVent,MRG007,未披露 ADC,肿瘤,临床前,全球（除大中华区）,47.0,1160.0,1207.0,2025-01
Gilgamesh Pharmaceutical,AbbVie,bretisilocin（GM-2505）,5-HT2A receptor激动剂,重度抑郁症,Ⅱ期,全球,,,1200.0,2025-08
Duality （中国）,Avenzo,AVZO-1418/DB-1418,EGFR×HER3 ADC,肿瘤,临床前,全球（除大中华区）,50.0,1150.0,1200.0,2025-01
Evaxion Biotech,默克,EVX-B 2/3,疫苗,传染病/细菌感染,临床前,全球,10.0,1184.0,1194.0,2025-09
科弈药业,Radiance,KY-0301,纳米双抗ADC,肿瘤,Ⅰ/Ⅱ期,全球,15.0,1150.0,1165.0,2025-08
恒瑞医药,Glenmark Specialty,瑞康曲妥珠单抗,anti-HER2抗体偶联药物,肿瘤,批准上市,全球（除大中华/美国/加拿大/欧洲等地区）,18.0,1093.0,1111.0,2025-09
恒瑞医药,Braveheart,HRS-1893,myosin抑制剂,心力衰竭,III期临床,全球（除大中华区）,65.0,1023.0,1088.0,2025-09
Rani Therapeutics,中外制药,RaniPill®技术平台,罕见病抗体,罕见病,未披露,全球,10.0,1075.0,1085.0,2025-10
信达生物 （中国）,罗氏,IBI3009,DLL3 ADC,肿瘤,IND/Ⅰ期,全球,80.0,1000.0,1080.0,2025-01
荃信生物,Roche,"IL-33, TSLP",anti-IL-33/TSLP双特异性抗体,呼吸系统疾病,临床前,全球,995.0,75.0,1070.0,2025-10
石药集团,Cipla,伊立替康,喜树碱;Top I抑制剂,肿瘤,批准上市,美国,15.0,1050.0,1065.0,2025-05
Orna,Vertex,技术平台,LNP 递送,罕见病,临床前,全球,65.0,1000.0,1065.0,2025-01
Vanqua Bio,Biogen,C5aR1,C5aR1拮抗剂,炎症,临床前,全球,70.0,990.0,1060.0,2025-10
City Therapeutics,渤健,未披露（单一 CNS 靶点）,CityRNA™ 新一代 RNAi,神经科,发现阶段,全球,46.0,1000.0,1046.0,2025-05
民为生物,Sidera Bio,FGF21; GLP-1,FGF21/GLP-1/GIP- Fc融合蛋白,代谢/肥胖,Ⅱ期临床,全球（除大中华区）,,1010.0,1045.0,2025-10
Oxford Bio,罗氏,未披露 + OGAP-Verify 发现平台,未披露（免疫肿瘤 & ADC）,肿瘤,IND,全球,36.0,1000.0,1036.0,2025-03
Saniona,Jazz Pharmaceutical,SAN2355,Kv7.3激活剂;Kv7.2激活剂,电线,临床前,全球,42.5,992.5,1035.0,2025-08
Light Horse,诺华,多个候选,未披露,肿瘤,临床前,全球,25.0,1000.0,1025.0,2025-01
Creyon Bio,礼来,未披露,RNA-Oligo,罕见病,临床前,全球,13.0,1000.0,1013.0,2025-04
Nabla Bio,Takeda Pharmaceutical,AI蛋白质疗法设计,抗体,未知,临床前,全球,,,1000.0,2025-10
